P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL
10,10,500,40,10,20,1,12,10,14,19,15,18,15,13,13,15,5 6,2,0.23610175502687994,0.045519532773233666,0,0,0,5 6,2,0.23610175502687994,0.045519532773233666,0,0,0,5 6,2,0.23610175502687994,0.045519532773233666,0,0,0,1 2 6,3,0.3239175872835879,0.07110702216838159,0,0,0,1 2 6,3,0.3239175872835879,0.07110702216838159,0,0,0,1 6 7,3,0.3251734029698262,0.03572341162744354,0,0,0,5 6,2,0.23610175502687994,0.045519532773233666,0,0,0,5 6,2,0.23610175502687994,0.045519532773233666,0,0,0,0 1 5,3,0.3000559872357613,0.09687628099524959,0,0,0
10,10,500,40,10,20,1,18,10,18,18,12,10,17,12,12,16,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,0 8 5,3,0.34192135325103074,0.048097969449142276,0,0,0,0 8 5,3,0.34192135325103074,0.048097969449142276,0,0,0,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,8 9 5,3,0.34355487581978983,0.09219500908200813,0,0,0,0 8 5,3,0.34192135325103074,0.048097969449142276,0,0,0
10,10,500,40,10,20,1,15,13,17,12,11,19,13,16,19,12,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,8 0,2,0.25914799529613175,0.013354263443988452,0,0,0,0 8,2,0.25914799529613175,0.013354263443988452,0,0,0,0 9 3,3,0.33717478963035724,0.06511648176357171,0,0,0
10,10,500,40,10,20,1,19,15,16,15,13,12,11,13,12,11,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0,4 5 7,3,0.37397066800295087,0.19460550796375667,0,0,0
10,10,500,40,10,20,1,16,18,14,16,17,10,13,19,18,11,9 5 7,3,0.3032329744064624,0.06873988850897939,0,0,0,9 2 6,3,0.3457141577411591,0.13363339695785492,0,0,0,9 2 6,3,0.3457141577411591,0.13363339695785492,0,0,0,8 9 5,3,0.3257233620956479,0.1169567079093006,0,0,0,8 9 5,3,0.3257233620956479,0.1169567079093006,0,0,0,9 4 5,3,0.3161022749512835,0.0853004814601491,0,0,0,8 9 5,3,0.3257233620956479,0.1169567079093006,0,0,0,8 9 5,3,0.3257233620956479,0.1169567079093006,0,0,0,9 2 6,3,0.3457141577411591,0.13363339695785492,0,0,0
10,10,500,40,10,20,1,16,12,18,11,16,17,18,11,12,19,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 4 7,3,0.35962438525026935,0.14545192677331473,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,1 3 4,3,0.3667685221877955,0.1494281721712622,0,0,0,0 4,2,0.22851764794572113,0.07684688482787702,0,0,0
10,10,500,40,10,20,1,14,13,13,10,11,15,18,15,10,13,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,9 4 5,3,0.3751073309274021,0.11446326253014813,0,0,0,8 4 6,3,0.3453774977961476,0.1438564835799876,0,0,0
10,10,500,40,10,20,1,12,11,16,16,12,17,18,11,10,18,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0,0 9 8,3,0.3686952104827018,0.10240161169887498,0,0,0
10,10,500,40,10,20,1,15,12,16,16,12,15,17,11,12,18,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,9 3,2,0.25362343155019146,0.07708385586005326,0,0,0,1 9,2,0.23362689839636513,0.025156481307620146,0,0,0,9 1,2,0.23362689839636513,0.025156481307620146,0,0,0
10,10,500,40,10,20,1,10,13,19,12,17,13,17,19,19,18,0 3 4,3,0.31291562432252223,0.10503488307468452,0,0,0,0 3 4,3,0.31291562432252223,0.10503488307468452,0,0,0,0 3 4,3,0.31291562432252223,0.10503488307468452,0,0,0,2 3,2,0.21826245613332357,0.0014912375340756048,0,0,0,2 4,2,0.22505671758915455,0.03669102283107334,0,0,0,1 2,2,0.21866772328159192,0.008483933759338529,0,0,0,0 1 4,3,0.3133208914707906,0.07361062892760246,0,0,0,0 1 4,3,0.3133208914707906,0.07361062892760246,0,0,0,8 1,2,0.20653790135756928,0.04795971660011627,0,0,0
